"","H_DATE","H_URLTeam","A_URLTeam","H_Tpct","H_TLast10","H_HRpct","H_HRLast10","H_ARpct","H_ARLast10","A_Tpct","A_TLast10","A_HRpct","A_HRLast10","A_ARpct","A_ARLast10","H_Outcome"
"264","Mon, Jan 17","BOS","NO",0.5,0.6,0.636363636363636,0.7,0.380952380952381,0.3,0.372093023255814,0.4,0.45,0.6,0.272727272727273,0.4,"1"
"265","Wed, Jan 19","BOS","CHA",0.511111111111111,0.7,0.652173913043478,0.7,0.380952380952381,0.3,0.545454545454545,0.7,0.705882352941177,0.7,0.461538461538462,0.5,"0"
"266","Fri, Jan 21","BOS","POR",0.5,0.6,0.625,0.7,0.380952380952381,0.3,0.409090909090909,0.5,0.541666666666667,0.3,0.210526315789474,0.3,"0"
"267","Tue, Jan 25","BOS","SAC",0.5,0.6,0.6,0.6,0.363636363636364,0.2,0.375,0.2,0.444444444444444,0.5,0.3,0.1,"1"
"268","Mon, Jan 31","BOS","MIA",0.509803921568627,0.6,0.615384615384615,0.7,0.375,0.2,0.64,0.7,0.782608695652174,0.9,0.538461538461538,0.6,"1"
"269","Wed, Feb 2","BOS","CHA",0.519230769230769,0.6,0.62962962962963,0.7,0.375,0.2,0.549019607843137,0.6,0.666666666666667,0.7,0.482758620689655,0.6,"1"
"270","Fri, Feb 11","BOS","DEN",0.553571428571429,0.8,0.642857142857143,0.7,0.444444444444444,0.5,0.555555555555556,0.7,0.583333333333333,0.6,0.517241379310345,0.6,"1"
"271","Sun, Feb 13","BOS","ATL",0.56140350877193,0.9,0.655172413793103,0.8,0.444444444444444,0.5,0.472727272727273,0.6,0.571428571428571,0.8,0.384615384615385,0.3,"1"
"272","Wed, Feb 16","BOS","DET",0.576271186440678,0.9,0.666666666666667,0.8,0.464285714285714,0.6,0.210526315789474,0.1,0.296296296296296,0.4,0.137931034482759,0.1,"0"
"273","Tue, Mar 1","BOS","ATL",0.571428571428571,0.8,0.645161290322581,0.7,0.516129032258065,0.8,0.483333333333333,0.5,0.566666666666667,0.8,0.379310344827586,0.3,"1"
"274","Thu, Mar 3","BOS","MEM",0.578125,0.8,0.65625,0.7,0.516129032258065,0.8,0.682539682539683,0.8,0.666666666666667,0.8,0.6875,0.7,"1"
"275","Sun, Mar 6","BOS","BKN",0.584615384615385,0.8,0.666666666666667,0.7,0.516129032258065,0.8,0.5,0.3,0.433333333333333,0.3,0.575757575757576,0.2,"1"
"276","Fri, Mar 11","BOS","DET",0.597014925373134,0.8,0.676470588235294,0.8,0.5,0.8,0.272727272727273,0.6,0.34375,0.4,0.212121212121212,0.3,"1"
"277","Sun, Mar 13","BOS","DAL",0.602941176470588,0.8,0.685714285714286,0.9,0.5,0.8,0.611940298507463,0.8,0.676470588235294,0.8,0.5625,0.7,"0"
"278","Wed, Nov 10","HOU","DET",0.1,0.1,0.333333333333333,0.333333333333333,0,0,0.111111111111111,0.111111111111111,0.25,0.25,0,0,"0"
"279","Fri, Nov 12","HOU","POR",0.0909090909090909,0.1,0.25,0.25,0,0,0.416666666666667,0.4,0.8,0.8,0,0,"0"
"280","Sun, Nov 14","HOU","PHX",0.0833333333333333,0,0.2,0.2,0,0,0.727272727272727,0.8,0.666666666666667,0.666666666666667,0.75,0.75,"0"
"281","Wed, Nov 24","HOU","CHI",0.0588235294117647,0,0.166666666666667,0.166666666666667,0,0,0.666666666666667,0.6,0.75,0.75,0.666666666666667,0.666666666666667,"1"
"282","Sat, Nov 27","HOU","CHA",0.111111111111111,0.1,0.285714285714286,0.285714285714286,0,0,0.619047619047619,0.8,0.75,0.75,0.5,0.4,"1"
"283","Mon, Nov 29","HOU","OKC",0.157894736842105,0.2,0.375,0.375,0,0,0.315789473684211,0.3,0.444444444444444,0.444444444444444,0.222222222222222,0.222222222222222,"1"
"284","Fri, Dec 3","HOU","ORL",0.238095238095238,0.4,0.444444444444444,0.444444444444444,0,0,0.217391304347826,0.2,0.111111111111111,0.111111111111111,0.230769230769231,0.2,"1"
"285","Sun, Dec 5","HOU","NO",0.272727272727273,0.5,0.5,0.5,0,0,0.28,0.5,0.3,0.3,0.285714285714286,0.3,"1"
"286","Wed, Dec 8","HOU","BKN",0.304347826086957,0.6,0.545454545454545,0.5,0,0,0.708333333333333,0.7,0.666666666666667,0.7,0.818181818181818,0.9,"1"
"287","Fri, Dec 10","HOU","MIL",0.333333333333333,0.7,0.583333333333333,0.6,0,0,0.615384615384615,0.8,0.666666666666667,0.7,0.538461538461538,0.5,"0"
"288","Thu, Dec 16","HOU","NY",0.321428571428571,0.7,0.538461538461538,0.6,0.142857142857143,0.2,0.428571428571429,0.2,0.357142857142857,0.3,0.538461538461538,0.4,"0"
"289","Tue, Dec 28","HOU","LAL",0.294117647058824,0.2,0.5,0.6,0.157894736842105,0.3,0.470588235294118,0.4,0.526315789473684,0.4,0.428571428571429,0.5,"0"
"290","Fri, Dec 31","HOU","MIA",0.285714285714286,0.2,0.466666666666667,0.6,0.157894736842105,0.3,0.628571428571429,0.8,0.733333333333333,0.7,0.526315789473684,0.5,"0"
"291","Sat, Jan 1","HOU","DEN",0.277777777777778,0.2,0.4375,0.6,0.157894736842105,0.3,0.515151515151515,0.6,0.615384615384615,0.6,0.473684210526316,0.6,"0"
"292","Fri, Jan 7","HOU","DAL",0.282051282051282,0.2,0.411764705882353,0.5,0.142857142857143,0.3,0.526315789473684,0.6,0.529411764705882,0.3,0.5,0.6,"0"
"293","Sun, Jan 9","HOU","MIN",0.275,0.1,0.388888888888889,0.4,0.142857142857143,0.3,0.487179487179487,0.5,0.5,0.6,0.444444444444444,0.4,"0"
"294","Mon, Jan 10","HOU","PHI",0.268292682926829,0.1,0.368421052631579,0.3,0.142857142857143,0.3,0.578947368421053,0.7,0.466666666666667,0.3,0.636363636363636,0.8,"0"
"295","Tue, Jan 25","HOU","SA",0.297872340425532,0.4,0.35,0.2,0.269230769230769,0.4,0.361702127659574,0.2,0.391304347826087,0.4,0.347826086956522,0.3,"0"
"296","Fri, Jan 28","HOU","POR",0.291666666666667,0.4,0.333333333333333,0.1,0.269230769230769,0.4,0.416666666666667,0.6,0.538461538461538,0.4,0.285714285714286,0.5,"0"
"297","Mon, Jan 31","HOU","GS",0.285714285714286,0.3,0.318181818181818,0,0.269230769230769,0.4,0.74,0.7,0.851851851851852,0.8,0.590909090909091,0.4,"0"
